"","any_state","any_location","any_both_sexes_2004","any_females_2004","any_males_2004","binge_both_sexes_2004","binge_females_2004","binge_males_2004"
"1","Texas","Cochran County",29.4,17.4,41.8,12.4,4.5,20.6
"2","Texas","Collingsworth County",32.1,19.5,45.2,12.1,4.8,19.6
"3","Texas","Cottle County",32.8,20.9,45.2,10.7,4.3,17.3
"4","Texas","Gaines County",33.6,21.8,45.9,13,5.6,20.7
"5","Texas","Crosby County",33.8,21.4,46.7,14.1,5.6,23
"6","Texas","Dickens County",33.8,22.8,45.2,12.9,6,20.1
"7","Texas","Hardeman County",33.9,22.3,46,9.1,3.5,14.8
"8","Texas","Hardeman County",33.9,22.3,46,11.5,4.9,18.3
"9","Texas","Hall County",34.1,20.8,47.9,11.8,7.2,16.7
"10","Texas","Hall County",34.1,20.8,47.9,19.1,11.4,27
"11","Texas","Hall County",34.1,20.8,47.9,13.8,5.9,21.9
"12","Texas","Briscoe County",34.3,21.7,47.4,12.3,4.9,20.1
"13","Texas","Newton County",34.5,24.7,44.5,13.8,7.7,20.2
"14","Texas","Newton County",34.5,24.7,44.5,13,7.3,18.9
"15","Texas","Newton County",34.5,24.7,44.5,18.7,11.3,26.5
"16","Texas","Newton County",34.5,24.7,44.5,9.4,4,15
"17","Texas","Newton County",34.5,24.7,44.5,13.6,8.1,19.4
"18","Texas","Newton County",34.5,24.7,44.5,13.4,6.8,20.2
"19","Texas","Fisher County",34.6,23.1,46.5,12.6,5.2,20.3
"20","Texas","Foard County",35.1,23,47.7,12.1,4.9,19.6
"21","Texas","Motley County",35.1,22.4,48.2,12.7,5.2,20.5
"22","Texas","Sabine County",35.1,25,45.7,13.9,6.4,21.7
"23","Texas","Haskell County",35.3,23.7,47.3,12,5.3,18.8
"24","Texas","Haskell County",35.3,23.7,47.3,12.2,5.5,19.1
"25","Texas","Haskell County",35.3,23.7,47.3,13.2,6,20.6
"26","Texas","Shelby County",35.5,26.6,44.8,13.6,7.1,20.4
"27","Texas","Shelby County",35.5,26.6,44.8,17.4,10.4,24.7
"28","Texas","Shelby County",35.5,26.6,44.8,16.2,10,22.7
"29","Texas","Shelby County",35.5,26.6,44.8,23.6,15.4,32.1
"30","Texas","Shelby County",35.5,26.6,44.8,9.5,4.2,15.1
"31","Texas","Shelby County",35.5,26.6,44.8,15.9,8.6,23.4
"32","Texas","Shelby County",35.5,26.6,44.8,19.9,12.1,28
"33","Texas","Shelby County",35.5,26.6,44.8,12,6.1,18.2
"34","Texas","Shelby County",35.5,26.6,44.8,12.9,6.7,19.3
"35","Texas","Cass County",35.8,26.3,45.7,19.2,11.4,27.2
"36","Texas","Cass County",35.8,26.3,45.7,15.8,9.9,21.8
"37","Texas","Cass County",35.8,26.3,45.7,19.9,11,29
"38","Texas","Cass County",35.8,26.3,45.7,18.4,11.6,25.5
"39","Texas","Cass County",35.8,26.3,45.7,22.9,14.4,31.7
"40","Texas","Cass County",35.8,26.3,45.7,16.1,10.1,22.3
"41","Texas","Cass County",35.8,26.3,45.7,21.4,12.8,30.4
"42","Texas","Cass County",35.8,26.3,45.7,23.2,15.8,30.8
"43","Texas","Cass County",35.8,26.3,45.7,12.5,5.7,19.5
"44","Texas","Tyler County",35.8,26.9,45,12.7,5.8,20
"45","Texas","Tyler County",35.8,26.9,45,10.4,5.1,15.9
"46","Texas","King County",36,25.6,46.8,12.3,4.7,20.3
"47","Texas","King County",36,25.6,46.8,17.5,13.2,22
"48","Texas","Kent County",36.1,25,47.6,15.7,9.2,22.4
"49","Texas","Kent County",36.1,25,47.6,19,11.7,26.6
"50","Texas","Kent County",36.1,25,47.6,18.5,11.9,25.4
"51","Texas","Kent County",36.1,25,47.6,20.1,12.2,28.3
"52","Texas","Kent County",36.1,25,47.6,13.1,5.4,21
"53","Texas","Lamb County",36.1,23.4,49.3,14.1,6,22.4
"54","Texas","San Augustine County",36.1,27,45.6,13.5,7,20.2
"55","Texas","Dawson County",36.6,25.2,48.4,12.5,6.6,18.7
"56","Texas","Dawson County",36.6,25.2,48.4,20.9,12.7,29.3
"57","Texas","Dawson County",36.6,25.2,48.4,17.8,10.2,25.7
"58","Texas","Dawson County",36.6,25.2,48.4,13.6,6.3,21.2
"59","Texas","Culberson County",36.8,24.4,49.8,16.5,6.7,26.7
"60","Texas","Lynn County",36.8,24.8,49.3,13.5,5.8,21.5
"61","Texas","Hale County",37.2,24.9,49.9,11.9,4.9,19.1
"62","Texas","Hale County",37.2,24.9,49.9,14.4,6,23.1
"63","Texas","Throckmorton County",37.2,26,48.8,11.7,4.8,18.9
"64","Texas","Parmer County",37.5,24.4,51.1,13,5.4,20.9
"65","Texas","Floyd County",37.6,25.8,49.8,11.5,6.4,16.9
"66","Texas","Floyd County",37.6,25.8,49.8,17.5,10.6,24.6
"67","Texas","Floyd County",37.6,25.8,49.8,22.2,13.3,31.3
"68","Texas","Floyd County",37.6,25.8,49.8,7.4,3.2,11.8
"69","Texas","Floyd County",37.6,25.8,49.8,13.2,6.2,20.4
"70","Texas","Floyd County",37.6,25.8,49.8,11.7,5.5,18.1
"71","Texas","Upton County",37.7,25.6,50.3,14.8,6,23.8
"72","Texas","Wheeler County",37.7,25.3,50.6,9.9,4.8,15.3
"73","Texas","Wheeler County",37.7,25.3,50.6,19.4,9.5,29.7
"74","Texas","Wheeler County",37.7,25.3,50.6,17.2,12.1,22.4
"75","Texas","Wheeler County",37.7,25.3,50.6,13.1,6.2,20.2
"76","Texas","Hockley County",37.8,26.3,49.8,13.7,6.1,21.6
"77","Texas","Terry County",37.8,26.3,49.8,14.2,7,21.7
"78","Texas","Morris County",38.1,28.4,48.1,15.7,8.5,23.1
"79","Texas","Morris County",38.1,28.4,48.1,17.6,11.3,24.1
"80","Texas","Morris County",38.1,28.4,48.1,13.1,6.9,19.5
"81","Texas","Zavala County",38.1,24.5,52.2,17.9,7.7,28.6
"82","Texas","Titus County",38.2,29.6,47.1,14.2,6.5,22.2
"83","Texas","Donley County",38.3,26,51,13,5.9,20.4
"84","Texas","Swisher County",38.3,26.2,50.8,13.6,6.6,20.8
"85","Texas","Knox County",38.4,26.3,50.9,19.5,13.1,26.2
"86","Texas","Knox County",38.4,26.3,50.9,18.2,11.1,25.5
"87","Texas","Knox County",38.4,26.3,50.9,6.7,2.8,10.8
"88","Texas","Knox County",38.4,26.3,50.9,16.5,9.8,23.4
"89","Texas","Knox County",38.4,26.3,50.9,16.5,8.1,25.2
"90","Texas","Knox County",38.4,26.3,50.9,25.1,16.7,33.8
"91","Texas","Knox County",38.4,26.3,50.9,15.7,9.7,21.9
"92","Texas","Knox County",38.4,26.3,50.9,11.3,7.2,15.4
"93","Texas","Knox County",38.4,26.3,50.9,15.5,7.1,24.1
"94","Texas","Coke County",38.5,27.2,50.2,14.1,6,22.5
"95","Texas","Jasper County",38.5,27.9,49.4,12.6,6.5,19
"96","Texas","Jasper County",38.5,27.9,49.4,20.2,12,28.7
"97","Texas","Jasper County",38.5,27.9,49.4,16.9,10.3,23.8
"98","Texas","Jasper County",38.5,27.9,49.4,19.9,11.8,28.2
