"","any_state","any_location","any_both_sexes_2011","any_females_2011","any_males_2011","binge_both_sexes_2011","binge_females_2011","binge_males_2011"
"1","Washington","Adams County",42.6,29.2,56.6,23.2,15.9,30.8
"2","Washington","Adams County",42.6,29.2,56.6,23,16.7,29.5
"3","Washington","Adams County",42.6,29.2,56.6,16.1,9.5,23
"4","Washington","Adams County",42.6,29.2,56.6,23.7,14,33.8
"5","Washington","Adams County",42.6,29.2,56.6,17.6,10.9,24.6
"6","Washington","Adams County",42.6,29.2,56.6,23.4,14.9,32.3
"7","Washington","Adams County",42.6,29.2,56.6,33,25.4,40.9
"8","Washington","Adams County",42.6,29.2,56.6,17.5,10.3,24.9
"9","Washington","Adams County",42.6,29.2,56.6,18.2,11.1,25.5
"10","Washington","Adams County",42.6,29.2,56.6,16.2,7.2,25.5
"11","Washington","Adams County",42.6,29.2,56.6,26.7,20.2,33.5
"12","Washington","Franklin County",45.2,36.2,54.6,10.3,4.4,16.5
"13","Washington","Franklin County",45.2,36.2,54.6,18.6,14,23.3
"14","Washington","Franklin County",45.2,36.2,54.6,24.7,18.1,31.6
"15","Washington","Franklin County",45.2,36.2,54.6,12.8,6.9,18.9
"16","Washington","Franklin County",45.2,36.2,54.6,8.6,4.7,12.6
"17","Washington","Franklin County",45.2,36.2,54.6,19.2,11.9,26.7
"18","Washington","Franklin County",45.2,36.2,54.6,20.1,12.5,28
"19","Washington","Franklin County",45.2,36.2,54.6,23.1,13.8,32.8
"20","Washington","Franklin County",45.2,36.2,54.6,19.7,11.8,27.9
"21","Washington","Franklin County",45.2,36.2,54.6,17.2,12.7,21.9
"22","Washington","Franklin County",45.2,36.2,54.6,20.1,12.5,28
"23","Washington","Franklin County",45.2,36.2,54.6,21.8,16.1,27.8
"24","Washington","Franklin County",45.2,36.2,54.6,11.9,5.2,18.8
"25","Washington","Franklin County",45.2,36.2,54.6,23.2,14.2,32.5
"26","Washington","Franklin County",45.2,36.2,54.6,25.1,14.9,35.7
"27","Washington","Franklin County",45.2,36.2,54.6,21.9,16.5,27.4
"28","Washington","Franklin County",45.2,36.2,54.6,12.7,6.8,18.9
"29","Washington","Franklin County",45.2,36.2,54.6,20,14.8,25.4
"30","Washington","Franklin County",45.2,36.2,54.6,16.5,11,22.1
"31","Washington","Franklin County",45.2,36.2,54.6,12.3,7,17.7
"32","Washington","Franklin County",45.2,36.2,54.6,16,10.5,21.7
"33","Washington","Franklin County",45.2,36.2,54.6,21.1,14.2,28.3
"34","Washington","Franklin County",45.2,36.2,54.6,13.2,7.1,19.5
"35","Washington","Franklin County",45.2,36.2,54.6,15.7,8.4,23.2
"36","Washington","Grant County",50,40.8,59.5,13.7,8.3,19.3
"37","Washington","Grant County",50,40.8,59.5,17,11.3,22.8
"38","Washington","Grant County",50,40.8,59.5,17.2,10.1,24.6
"39","Washington","Grant County",50,40.8,59.5,11.4,6.2,16.8
"40","Washington","Grant County",50,40.8,59.5,23.3,16.1,30.7
"41","Washington","Grant County",50,40.8,59.5,19.7,10.4,29.3
